NAME,V,VURL,VREF,KP,TEFF,TEFFUPPER,TEFFLOWER,UTEFF
Kepler-20 b,12.51,,,12.498,5466,93,93,93
Kepler-62 b,13.8,,,13.75,4925,70,70,70
Kepler-37 d,9.77,,,9.701,5417,75,75,75
Kepler-42 c,16.124,,,15.92,3068,174,174,174
Kepler-20 f,12.51,,,12.498,5466,93,93,93
Kepler-69 b,14,http://adsabs.harvard.edu/abs/2012PASP..124..316E,Everett 2012,13.749,5638,168,168,168
HAT-P-11 b,9.578,,,9.2,4780,50,50,50
Kepler-17 b,13.78,,,14.14,5781,85,85,85
Kepler-45 b,16.88,,,15.979,3820,90,90,90
Kepler-68 b,10.08,,,10,5793,74,74,74
Kepler-20 e,12.51,,,12.498,5466,93,93,93
Kepler-62 d,13.8,,,13.75,4925,70,70,70
HAT-P-7 b,10.46,,,10.5,6389,0,34,17
Kepler-62 e,13.8,,,13.75,4925,70,70,70
Kepler-25 b,10.77,,,10.734,6190,80,80,80
Kepler-62 c,13.8,,,13.75,4925,70,70,70
Kepler-33 c,13.74,,,13.988,5904,47,47,47
Kepler-33 f,13.74,,,13.988,5904,47,47,47
Kepler-36 c,11.94,,,11.9,5911,66,66,66
Kepler-37 c,9.77,,,9.701,5417,75,75,75
Kepler-21 b,8.25,,,8.2,6131,44,44,44
Kepler-69 c,14,http://adsabs.harvard.edu/abs/2012PASP..124..316E,Everett 2012,13.749,5638,168,168,168
Kepler-42 b,16.124,,,15.92,3068,174,174,174
Kepler-14 b,12,,,12.128,6395,60,60,60
Kepler-37 b,9.77,,,9.701,5417,75,75,75
Kepler-20 c,12.51,,,12.498,5466,93,93,93
Kepler-62 f,13.8,,,13.75,4925,70,70,70
Kepler-41 b,14.5,http://adsabs.harvard.edu/abs/2011A%26A...536A..70S,Santerne 2011,14.465,5660,100,100,100
WASP-8 b,9.789,,,9.439,5600,80,80,80
Kepler-40 b,14.761,,,14.58,6510,100,100,100
Kepler-33 e,13.74,,,13.988,5904,47,47,47
Kepler-19 b,12.04,,,11.9,5541,60,60,60
Kepler-12 b,13.8,,,13.438,5947,100,100,100
Kepler-33 d,13.74,,,13.988,5904,47,47,47
Kepler-20 d,12.51,,,12.498,5466,93,93,93
Kepler-74 b,14.23,,,14.41,6050,110,110,110
Kepler-68 c,10.08,,,10,5793,74,74,74
Kepler-42 d,16.124,,,15.92,3068,174,174,174
Kepler-68 d,10.08,,,10,5793,74,74,74
Kepler-78 b,11.72,,,11.5,5089,50,50,50
Kepler-36 b,11.94,,,11.9,5911,66,66,66
Kepler-412 b,13.73,,,14.31,5750,90,90,90
TrES-2 b,11.411,,,11.3,5850,50,50,50
Kepler-25 c,10.77,,,10.734,6190,80,80,80
Kepler-33 b,13.74,,,13.988,5904,47,47,47
